full_name,brand_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Hyundai i20 Sportz AT 1.4,Hyundai,5.1 Lakh*,New Car (On-Road Price) : Rs.8.38-13.24 Lakh*,2014,Dealer,"47,900 kms",First Owner,Petrol,Automatic,Mileage15.0 kmpl,Engine1396 CC,Max Power98.6 bhp,Seats5
BMW X1 sDrive20d,BMW,12.8 Lakh*,New Car (On-Road Price) : Rs.51.71-53.40 Lakh*,2013,Individual,"56,000 kms",First Owner,Diesel,Automatic,Mileage17.05 kmpl,Engine1995 CC,Max Power184 bhp,Seats5
Toyota Innova 2.5 GX 7 STR BSIV,Toyota,8 Lakh*,null,2012,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Seats7
Maruti Wagon R LXI,Maruti,3.5 Lakh*,New Car (On-Road Price) : Rs.5.40-7.19 Lakh*,2014,Dealer,"61,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
Toyota Fortuner 3.0 Diesel,Toyota,10.75 Lakh*,New Car (On-Road Price) : Rs.39.12-45.22 Lakh*,2011,Dealer,"1,75,000 kms",First Owner,Diesel,Manual,Mileage11.5 kmpl,Engine2982 CC,Max Power171 bhp,Seats7
Maruti Alto 800 LXI,Maruti,2.4 Lakh*,New Car (On-Road Price) : Rs.3.50-4.69 Lakh*,2015,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage22.74 kmpl,Engine796 CC,Max Power47.3 bhp,Seats5
Hyundai i20 1.4 Asta AT (O) with Sunroof,Hyundai,8.75 Lakh*,New Car (On-Road Price) : Rs.8.22-13.62 Lakh*,2019,Dealer,"4,000 kms",First Owner,Petrol,Automatic,Mileage15.0 kmpl,Engine1396 CC,Max Power100 bhp,Seats5
Mahindra Bolero Power Plus ZLX,Mahindra,8 Lakh*,null,2017,Individual,"60,000 kms",First Owner,Diesel,Manual,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Seats7
Maruti Alto K10 VXI,Maruti,3.71 Lakh*,null,2018,Dealer,"5,917 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
Mahindra Logan Petrol 1.4 GLX,Mahindra,1.8 Lakh*,null,2011,Individual,"36,000 kms",First Owner,Petrol,Manual,Mileage15.7 kmpl,Engine1390 CC,Max Power75 bhp,Seats5
Skoda Superb 1.8 TFSI MT,Skoda,4.79 Lakh*,New Car (On-Road Price) : Rs.36.39-39.36 Lakh*,2011,Dealer,"56,468 kms",First Owner,Petrol,Manual,Mileage13.14 kmpl,Engine1798 CC,Max Power157.8 bhp,Seats5
Maruti Swift 1.3 ZXI,Maruti,3.25 Lakh*,null,2011,Dealer,"64,000 kms",First Owner,Petrol,Manual,Mileage16.1 kmpl,null,null,null
Hyundai EON Magna,Hyundai,2.75 Lakh*,null,2013,Dealer,"50,575 kms",First Owner,Petrol,Manual,Mileage22.0 kmpl,Engine814 CC,Max Power55 bhp,Seats5
Hyundai i20 1.2 Sportz,Hyundai,5.85 Lakh*,New Car (On-Road Price) : Rs.7.91-13.24 Lakh*,2017,Dealer,"41,280 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1197 CC,Max Power80 bhp,Seats5
Hyundai Grand i10 Asta Option,Hyundai,4.59 Lakh*,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,2014,Dealer,"49,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Mahindra Ingenio CRDe,Mahindra,1.9 Lakh*,null,2017,Dealer,"81,000 kms",First Owner,Diesel,Manual,null,Engine2489 CC,null,Seats2
Honda WR-V i-DTEC VX,Honda,8.85 Lakh*,New Car (On-Road Price) : Rs.11.74-13.30 Lakh*,2017,Dealer,"58,000 kms",First Owner,Diesel,Manual,Mileage25.5 kmpl,Engine1498 CC,Max Power98.6 bhp,Seats5
Mercedes-Benz GLC 220d 4MATIC,Mercedes-Benz,48 Lakh*,New Car (On-Road Price) : Rs.75.72 Lakh*,2019,Dealer,"21,400 kms",First Owner,Diesel,Automatic,null,Engine1950 CC,Max Power194 bhp,Seats5
Hyundai Elantra CRDi SX AT,Hyundai,7.85 Lakh*,New Car (On-Road Price) : Rs.22.44-25.31 Lakh*,2014,Dealer,"57,000 kms",First Owner,Diesel,Automatic,Mileage19.5 kmpl,Engine1582 CC,Max Power126.24 bhp,Seats5
Tata Nano XT,Tata,1.84 Lakh*,null,2015,Trustmark Dealer,"29,000 kms",First Owner,Petrol,Manual,Mileage23.9 kmpl,Engine624 CC,Max Power37.48 bhp,Seats4
BMW 5 Series 520d,BMW,15 Lakh*,New Car (On-Road Price) : Rs.76.04-85.24 Lakh*,2013,Dealer,"55,000 kms",First Owner,Diesel,Automatic,Mileage18.48 kmpl,Engine1995 CC,Max Power177 bhp,Seats5
Hyundai i20 2015-2017 Sportz 1.4 CRDi,Hyundai,7.5 Lakh*,New Car (On-Road Price) : Rs.9.68-12.84 Lakh*,2017,Dealer,"24,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
Mercedes-Benz CLA 200 CDI Sport,Mercedes-Benz,27.5 Lakh*,null,2019,Dealer,"27,000 kms",First Owner,Diesel,Automatic,Mileage17.9 kmpl,Engine2143 CC,Max Power136 bhp,Seats5
Maruti Ertiga VDI,Maruti,7.07 Lakh*,null,2015,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage20.77 kmpl,Engine1248 CC,Max Power88.76 bhp,Seats7
Mahindra TUV 300 T8,Mahindra,5.6 Lakh*,null,2016,Individual,"80,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Seats7
Tata Indica DLE,Tata,"40,000*",null,2005,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage13.5 kmpl,Engine1405 CC,null,Seats5
Maruti Ertiga VXI CNG,Maruti,5.95 Lakh*,null,2014,Dealer,"51,890 kms",First Owner,CNG,Manual,Mileage17.5 km/kg,Engine1373 CC,Max Power80.46 bhp,Seats7
Honda City 2017-2020 GXi,Honda,1.95 Lakh*,New Car (On-Road Price) : Rs.12.90-17.10 Lakh*,2007,Dealer,"58,641 kms",First Owner,Petrol,Manual,Mileage17.7 kmpl,Engine1497 CC,Max Power78 bhp,Seats5
Tata Zest Quadrajet 1.3 75PS XMS,Tata,5 Lakh*,null,2017,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.95 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,9.5 Lakh*,null,2013,Dealer,"1,17,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100 bhp,Seats7
Maruti Ciaz AT ZXi Plus,Maruti,7.95 Lakh*,null,2017,Dealer,"25,000 kms",First Owner,Petrol,Automatic,Mileage19.12 kmpl,Engine1373 CC,Max Power91.1 bhp,Seats5
Toyota Etios Liva G,Toyota,2.5 Lakh*,null,2011,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage18.3 kmpl,Engine1197 CC,null,Seats5
Hyundai Grand i10 Asta Option,Hyundai,6.15 Lakh*,New Car (On-Road Price) : Rs.7.05-7.41 Lakh*,2017,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Mercedes-Benz C-Class C 220 CDI BE Avantgarde,Mercedes-Benz,33.75 Lakh*,New Car (On-Road Price) : Rs.52.16-65.17 Lakh*,2017,Dealer,"24,323 kms",First Owner,Diesel,Automatic,Mileage14.84 kmpl,Engine2143 CC,Max Power167.62 bhp,Seats5
Maruti Baleno Alpha,Maruti,7.31 Lakh*,New Car (On-Road Price) : Rs.6.87-10.54 Lakh*,2018,Dealer,"21,000 kms",First Owner,Petrol,Manual,Mileage21.01 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
Honda City V AT,Honda,4.75 Lakh*,New Car (On-Road Price) : Rs.12.90-16.99 Lakh*,2013,Dealer,"67,000 kms",First Owner,Petrol,Automatic,Mileage15.6 kmpl,Engine1497 CC,Max Power116.3 bhp,Seats5
Renault KWID RXT,Renault,3.25 Lakh*,New Car (On-Road Price) : Rs.4.00-6.54 Lakh*,2016,Dealer,"7,000 kms",First Owner,Petrol,Manual,Mileage22.3 kmpl,Engine799 CC,Max Power53.26 bhp,Seats5
Renault KWID 1.0 RXT Optional,Renault,4 Lakh*,New Car (On-Road Price) : Rs.4.15-6.68 Lakh*,2018,Dealer,"42,000 kms",First Owner,Petrol,Manual,Mileage23.01 kmpl,Engine999 CC,Max Power67 bhp,Seats5
Hyundai Verna 1.6 SX VTVT (O),Hyundai,3.99 Lakh*,New Car (On-Road Price) : Rs.10.55-16.43 Lakh*,2011,Dealer,"58,000 kms",First Owner,Petrol,Manual,Mileage17.1 kmpl,Engine1591 CC,Max Power121.3 bhp,Seats5
Nissan Sunny Diesel XL,Nissan,5.75 Lakh*,null,2016,Dealer,"71,000 kms",First Owner,Diesel,Manual,Mileage21.64 kmpl,Engine1461 CC,Max Power84.8 bhp,Seats5
Maruti Ciaz ZDi Plus SHVS,Maruti,7.85 Lakh*,null,2017,Dealer,"31,400 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
Hyundai Creta 1.6 CRDi SX,Hyundai,11.25 Lakh*,New Car (On-Road Price) : Rs.12.33-20.82 Lakh*,2017,Individual,"35,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
Toyota Fortuner 4X2 Diesel AT,Toyota,32.5 Lakh*,null,2018,Dealer,"48,000 kms",First Owner,Diesel,Automatic,null,Engine2755 CC,Max Power201.15 bhp,Seats7
Ford Ecosport 1.0 Ecoboost Titanium,Ford,4.99 Lakh*,New Car (On-Road Price) : Rs.9.50-13.37 Lakh*,2013,Dealer,"56,260 kms",First Owner,Petrol,Manual,Mileage18.88 kmpl,Engine999 CC,Max Power123.37 bhp,Seats5
Maruti Wagon R LXI,Maruti,1.1 Lakh*,New Car (On-Road Price) : Rs.5.40-7.20 Lakh*,2007,Dealer,"1,15,000 kms",First Owner,Petrol,Manual,Mileage21.79 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
Hyundai i10 Magna,Hyundai,2.95 Lakh*,null,2013,Dealer,"34,579 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Seats5
Fiat Punto 1.2 Emotion,Fiat,1.85 Lakh*,null,2010,Dealer,"49,000 kms",First Owner,Petrol,Manual,Mileage15.7 kmpl,Engine1172 CC,Max Power67 bhp,Seats5
Volkswagen Vento 1.2 TSI Highline AT,Volkswagen,6.65 Lakh*,New Car (On-Road Price) : Rs.10.61-16.31 Lakh*,2015,Dealer,"27,000 kms",First Owner,Petrol,Automatic,Mileage16.93 kmpl,Engine1197 CC,Max Power103.2 bhp,Seats5
Toyota Corolla Altis 1.8 VL CVT,Toyota,14.45 Lakh*,null,2018,Dealer,"7,000 kms",First Owner,Petrol,Automatic,Mileage14.28 kmpl,Engine1798 CC,Max Power138.03 bhp,Seats5
Mercedes-Benz E-Class E 250 Elegance,Mercedes-Benz,10 Lakh*,New Car (On-Road Price) : Rs.74.17-1.72 Cr*,2010,Individual,"70,000 kms",First Owner,Petrol,Automatic,Mileage10.93 kmpl,Engine2497 CC,Max Power204 bhp,Seats5
Hyundai i20 1.2 Asta Option,Hyundai,6.9 Lakh*,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,2017,Dealer,"20,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
Maruti Alto LXi,Maruti,1.45 Lakh*,null,2008,Dealer,"50,000 kms",First Owner,Petrol,Manual,Mileage19.7 kmpl,Engine796 CC,Max Power46.3 bhp,Seats5
Volkswagen Vento Diesel Highline,Volkswagen,3.75 Lakh*,null,2011,Dealer,"59,526 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Seats5
Maruti Ritz LDi,Maruti,4.4 Lakh*,null,2016,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage23.2 kmpl,Engine1248 CC,Max Power73.94 bhp,Seats5
Maruti Ciaz Delta,Maruti,7.65 Lakh*,New Car (On-Road Price) : Rs.9.95-13.51 Lakh*,2018,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage20.65 kmpl,Engine1462 CC,Max Power103.25 bhp,Seats5
Mahindra Bolero SLX 2WD,Mahindra,6.5 Lakh*,null,2015,Dealer,"62,248 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
Maruti Ciaz ZDi Plus SHVS,Maruti,7.55 Lakh*,null,2016,Dealer,"67,518 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
Maruti Ertiga VXI CNG,Maruti,6.75 Lakh*,New Car (On-Road Price) : Rs.10.23 Lakh*,2014,Dealer,"54,000 kms",First Owner,CNG,Manual,Mileage22.8 km/kg,Engine1373 CC,Max Power80.9 bhp,Seats7
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,Toyota,10.25 Lakh*,null,2014,Dealer,"92,965 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.57 bhp,Seats7
Datsun GO A Petrol,Datsun,2.49 Lakh*,New Car (On-Road Price) : Rs.5.30-8.18 Lakh*,2015,Dealer,"22,211 kms",First Owner,Petrol,Manual,Mileage19.02 kmpl,Engine1198 CC,Max Power67.05 bhp,Seats5
Toyota Innova 2.5 GX 8 STR BSIV,Toyota,7.25 Lakh*,null,2012,Individual,"2,55,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Seats8
Maruti Swift VDI,Maruti,5 Lakh*,null,2014,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage22.9 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Honda Civic 1.8 V AT,Honda,2.5 Lakh*,New Car (On-Road Price) : Rs.21.22-25.25 Lakh*,2008,Dealer,"57,000 kms",First Owner,Petrol,Automatic,Mileage13.9 kmpl,Engine1799 CC,Max Power130.2 bhp,Seats5
Renault KWID AMT,Renault,3.71 Lakh*,New Car (On-Road Price) : Rs.4.00-6.54 Lakh*,2017,Dealer,"8,560 kms",First Owner,Petrol,Automatic,Mileage24.04 kmpl,Engine999 CC,Max Power67 bhp,Seats5
Maruti Swift Dzire VDI Optional,Maruti,7.2 Lakh*,null,2017,Individual,"72,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Maruti Wagon R VXI,Maruti,4.25 Lakh*,null,2015,Dealer,"39,983 kms",First Owner,Petrol,Manual,Mileage21.79 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
Hyundai Grand i10 Magna,Hyundai,4.25 Lakh*,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,2015,Dealer,"78,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Tata Sumo MKII LX,Tata,3 Lakh*,null,2010,Individual,"2,20,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2179 CC,Max Power120 bhp,Seats9
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,Ford,10.95 Lakh*,New Car (On-Road Price) : Rs.10.51-13.98 Lakh*,2020,Dealer,"6,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Seats5
Honda City i VTEC CVT VX,Honda,8.45 Lakh*,New Car (On-Road Price) : Rs.12.90-16.99 Lakh*,2016,Dealer,"32,000 kms",First Owner,Petrol,Automatic,Mileage18.0 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats5
Hyundai Creta 1.6 CRDi SX,Hyundai,9.75 Lakh*,New Car (On-Road Price) : Rs.12.32-20.80 Lakh*,2015,Dealer,"81,000 kms",First Owner,Diesel,Manual,Mileage19.67 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
Maruti Dzire VXI AT,Maruti,4.11 Lakh*,New Car (On-Road Price) : Rs.6.92-10.32 Lakh*,2012,Dealer,"24,000 kms",First Owner,Petrol,Automatic,Mileage24.12 kmpl,Engine1197 CC,Max Power88.50 bhp,Seats5
Honda Amaze S i-Dtech,Honda,3.96 Lakh*,New Car (On-Road Price) : Rs.9.08-11.77 Lakh*,2013,Dealer,"64,000 kms",First Owner,Diesel,Manual,Mileage25.8 kmpl,Engine1498 CC,Max Power98.6 bhp,Seats5
Maruti Baleno Alpha 1.2,Maruti,7.5 Lakh*,New Car (On-Road Price) : Rs.6.80-10.44 Lakh*,2018,Dealer,"22,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
Honda New Accord 2011-2014 2.4 M/T,Honda,5.95 Lakh*,null,2013,Dealer,"70,000 kms",First Owner,Petrol,Manual,Mileage12.8 kmpl,Engine2354 CC,Max Power177.6 bhp,Seats5
Toyota Etios V,Toyota,4.1 Lakh*,null,2014,Individual,"80,000 kms",First Owner,Petrol,Manual,Mileage16.78 kmpl,Engine1496 CC,Max Power88.73 bhp,Seats5
Ford Figo Diesel Titanium,Ford,2.82 Lakh*,New Car (On-Road Price) : Rs.9.13-9.66 Lakh*,2011,Dealer,"48,971 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Seats5
Maruti Wagon R Stingray AMT VXI,Maruti,4.5 Lakh*,null,2015,Individual,"40,000 kms",First Owner,Petrol,Automatic,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
Mahindra XUV500 AT W10 FWD,Mahindra,16.5 Lakh*,New Car (On-Road Price) : Rs.16.59-23.37 Lakh*,2017,Individual,"89,200 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Seats7
Honda Brio S MT,Honda,4.81 Lakh*,null,2016,Dealer,"7,623 kms",First Owner,Petrol,Manual,Mileage19.4 kmpl,Engine1198 CC,Max Power86.8 bhp,Seats5
Hyundai Grand i10 Magna,Hyundai,4.9 Lakh*,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,2017,Dealer,"16,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
Ford Ecosport 2015-2021 1.0 Ecoboost Titanium Plus BSIV,Ford,6.5 Lakh*,New Car (On-Road Price) : Rs.9.50-13.37 Lakh*,2014,Dealer,"44,406 kms",First Owner,Petrol,Manual,Mileage18.88 kmpl,Engine999 CC,Max Power123.24 bhp,Seats5
Mahindra Bolero SLE,Mahindra,2.5 Lakh*,New Car (On-Road Price) : Rs.9.00-10.53 Lakh*,2010,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Seats7
Datsun GO Plus T BSIV,Datsun,3.5 Lakh*,New Car (On-Road Price) : Rs.4.99-8.13 Lakh*,2016,Individual,"15,000 kms",First Owner,Petrol,Manual,Mileage19.44 kmpl,Engine1198 CC,Max Power67 bhp,Seats7
Hyundai i20 1.2 Spotz,Hyundai,7 Lakh*,New Car (On-Road Price) : Rs.7.90-13.23 Lakh*,2017,Dealer,"27,266 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
Tata Safari 2005-2017 DICOR 2.2 EX 4x2,Tata,3.5 Lakh*,New Car (On-Road Price) : Rs.14.85-21.41 Lakh*,2010,Dealer,"60,893 kms",First Owner,Diesel,Manual,Mileage11.57 kmpl,Engine2179 CC,Max Power138.1 bhp,Seats7
Honda Amaze S Option i-VTEC,Honda,5.5 Lakh*,New Car (On-Road Price) : Rs.7.27-10.25 Lakh*,2017,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage17.8 kmpl,Engine1198 CC,Max Power86.7 bhp,Seats5
Maruti Swift Vdi BSIII,Maruti,2.5 Lakh*,null,2008,Individual,"120,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power75 bhp,Seats5
Maruti Swift Dzire ZXI,Maruti,4.75 Lakh*,New Car (On-Road Price) : Rs.6.92-10.31 Lakh*,2014,Dealer,"50,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
Mercedes-Benz C-Class 220 CDI AT,Mercedes-Benz,10.75 Lakh*,null,2013,Dealer,"73,000 kms",First Owner,Diesel,Automatic,Mileage14.84 kmpl,Engine2143 CC,Max Power170 bhp,Seats5
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Toyota,9.95 Lakh*,null,2014,Dealer,"86,000 kms",First Owner,Diesel,Manual,Mileage12.8 kmpl,Engine2494 CC,Max Power102 bhp,Seats7
Datsun RediGO 1.0 T Option,Datsun,2.71 Lakh*,New Car (On-Road Price) : Rs.4.00-6.32 Lakh*,2017,Dealer,"20,000 kms",First Owner,Petrol,Manual,Mileage22.5 kmpl,Engine999 CC,Max Power67 bhp,Seats5
Hyundai i10 Magna 1.1,Hyundai,2.55 Lakh*,New Car (On-Road Price) : Rs.7.06-7.42 Lakh*,2012,Dealer,"62,000 kms",First Owner,Petrol,Manual,Mileage19.81 kmpl,Engine1086 CC,Max Power68.05 bhp,Seats5
Honda Mobilio RS i DTEC,Honda,5.5 Lakh*,null,2014,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage24.5 kmpl,Engine1498 CC,Max Power98.6 bhp,Seats7
Maruti Ertiga VXI Petrol,Maruti,8.55 Lakh*,New Car (On-Road Price) : Rs.8.92-12.29 Lakh*,2018,Dealer,"36,352 kms",First Owner,Petrol,Manual,Mileage19.34 kmpl,Engine1462 CC,Max Power103 bhp,Seats7
Audi Q3 35 TDI Quattro Premium Plus,Audi,32 Lakh*,null,2018,Dealer,"12,000 kms",First Owner,Diesel,Automatic,Mileage15.17 kmpl,Engine1968 CC,Max Power181 bhp,Seats5
Honda BRV i-VTEC S MT,Honda,7.5 Lakh*,null,2016,Dealer,"25,000 kms",First Owner,Petrol,Manual,Mileage15.4 kmpl,Engine1497 CC,Max Power117.3 bhp,Seats7
Maruti Ciaz ZDi Plus,Maruti,6.85 Lakh*,null,2015,Dealer,"48,000 kms",First Owner,Diesel,Manual,Mileage26.21 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
Maruti Swift ZDi,Maruti,4.75 Lakh*,null,2013,Dealer,"78,278 kms",First Owner,Diesel,Manual,Mileage22.9 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
Volkswagen Polo 1.5 TDI Highline,Volkswagen,4.5 Lakh*,null,2015,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Seats5
Toyota Innova Crysta 2016-2020 2.4 GX AT 8 STR,Toyota,16.5 Lakh*,New Car (On-Road Price) : Rs.20.73-30.10 Lakh*,2016,Dealer,"53,380 kms",First Owner,Diesel,Automatic,Mileage13.68 kmpl,Engine2393 CC,Max Power147.51 bhp,Seats8
Tata Tigor 1.05 Revotorq XE,Tata,5.25 Lakh*,null,2018,Dealer,"60,204 kms",First Owner,Diesel,Manual,Mileage24.7 kmpl,Engine1047 CC,Max Power69 bhp,Seats5
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,Hyundai,7.2 Lakh*,New Car (On-Road Price) : Rs.10.02-13.20 Lakh*,2016,Dealer,"68,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
Maruti Wagon R LXI,Maruti,2.4 Lakh*,New Car (On-Road Price) : Rs.5.51-7.33 Lakh*,2010,Dealer,"75,008 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,Ford,9.4 Lakh*,New Car (On-Road Price) : Rs.10.51-13.98 Lakh*,2018,Dealer,"29,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Seats5
Hyundai Verna 1.4 CRDi,Hyundai,7.75 Lakh*,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2016,Individual,"83,000 kms",First Owner,Diesel,Manual,Mileage24.8 kmpl,Engine1396 CC,Max Power88.7 bhp,Seats5
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,12.75 Lakh*,null,2015,Dealer,"1,14,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats7
Hyundai i10 Sportz AT,Hyundai,3.6 Lakh*,null,2013,Dealer,"42,000 kms",First Owner,Petrol,Automatic,Mileage16.95 kmpl,Engine1197 CC,Max Power78.9 bhp,Seats5
Maruti Ritz LDi,Maruti,2.65 Lakh*,null,2011,Dealer,"71,000 kms",First Owner,Diesel,Manual,Mileage21.1 kmpl,Engine1248 CC,Max Power73.9 bhp,Seats5
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,11.55 Lakh*,null,2015,Dealer,"1,17,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
Skoda Superb Elegance 1.8 TSI AT,Skoda,4.49 Lakh*,New Car (On-Road Price) : Rs.36.39-39.36 Lakh*,2009,Dealer,"61,205 kms",First Owner,Petrol,Automatic,Mileage13.7 kmpl,Engine1798 CC,Max Power157.75 bhp,Seats5
Hyundai i20 1.4 CRDi Sportz,Hyundai,4.6 Lakh*,null,2012,Dealer,"87,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1396 CC,Max Power90 bhp,Seats5
Mahindra Xylo E8,Mahindra,3 Lakh*,null,2009,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Seats8
Hyundai Xcent 1.1 CRDi S Option,Hyundai,5.15 Lakh*,null,2015,Dealer,"52,000 kms",First Owner,Diesel,Manual,Mileage24.4 kmpl,Engine1120 CC,Max Power71.01 bhp,Seats5
Skoda Rapid 1.5 TDI AT Style Plus,Skoda,6.95 Lakh*,null,2016,Dealer,"49,661 kms",First Owner,Diesel,Automatic,Mileage21.66 kmpl,Engine1498 CC,Max Power103.52 bhp,Seats5
Hyundai i10 Sportz AT,Hyundai,3.75 Lakh*,null,2013,Dealer,"20,000 kms",First Owner,Petrol,Automatic,Mileage16.95 kmpl,Engine1197 CC,Max Power78.9 bhp,Seats5
Maruti Alto K10 VXI,Maruti,2.85 Lakh*,null,2014,Dealer,"56,332 kms",First Owner,Petrol,Manual,Mileage23.95 kmpl,Engine998 CC,Max Power67.05 bhp,Seats5
Tata Hexa XM,Tata,12.25 Lakh*,New Car (On-Road Price) : Rs.14.10 Lakh*,2018,Individual,"46,000 kms",First Owner,Diesel,Manual,Mileage17.6 kmpl,Engine2179 CC,Max Power153.86 bhp,Seats7
Maruti Swift ZXI,Maruti,4.1 Lakh*,New Car (On-Road Price) : Rs.6.41-9.31 Lakh*,2013,Dealer,"37,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power85.8 bhp,Seats5
