full_name,brand_name,year,seller_type,owner_type,fuel_type,transmission_type,original_price,SP,mileage_cars(kmpl),engine_cc,maxx_power,Kmeter_driven,seat
Hyundai i20 1.2 Asta Dual Tone,Hyundai,2017,Individual,First Owner,Petrol,Manual,13.23,6.35,18.6,1197,81.83,25000,5
Hyundai Elantra CRDi SX,Hyundai,2015,Dealer,First Owner,Diesel,Manual,25.31,8.75,22.7,1582,126.2,59000,5
Maruti Swift Dzire Tour S,Maruti,2017,Individual,First Owner,CNG,Manual,7.2,4.5,19,1197,85.8,110000,5
Skoda Superb 1.8 TSI MT,Skoda,2011,Dealer,First Owner,Petrol,Manual,39.36,4.79,13.14,1798,160,54000,5
Datsun redi-GO AMT 1.0 T Option,Datsun,2018,Dealer,First Owner,Petrol,Automatic,6.32,3.75,22,999,67.05,5986,5
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,Dealer,First Owner,Diesel,Manual,20.82,10,19.67,1582,126.2,20000,5
Hyundai Verna 1.6 SX,Hyundai,2014,Individual,First Owner,Diesel,Manual,18.09,7,22.32,1582,126.32,100000,5
Isuzu D-Max V-Cross High,Isuzu,2018,Individual,First Owner,Diesel,Manual,23.79,12,12.4,2499,134,120000,5
Hyundai i20 1.2 Spotz,Hyundai,2015,Dealer,First Owner,Petrol,Manual,13.24,6,18.6,1197,81.83,18000,5
Maruti Ertiga VXI Petrol,Maruti,2018,Individual,First Owner,Petrol,Manual,12.3,8.15,19.34,1462,103,62000,7
Maruti Ertiga VXI CNG,Maruti,2018,Trustmark Dealer,First Owner,CNG,Manual,10.22,8.55,17.5,1373,80.46,26938,7
Skoda Superb LK 1.8 TSI AT,Skoda,2016,Dealer,First Owner,Petrol,Automatic,39.68,15.15,14.67,1798,177.46,65000,5
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,Individual,First Owner,Diesel,Manual,18.11,4.5,22.32,1582,126.32,55000,5
Hyundai i20 Asta 1.2,Hyundai,2011,Individual,First Owner,Petrol,Manual,13.24,3.25,18.5,1197,82.85,115000,5
Mahindra KUV 100 mFALCON G80 K8,Mahindra,2016,Individual,First Owner,Petrol,Manual,8.64,4,18.15,1198,82,53000,6
BMW 3 Series GT 320d Luxury Line,BMW,2015,Dealer,First Owner,Diesel,Automatic,59.46,23,19.59,1995,184,44000,5
Hyundai i20 Asta 1.2,Hyundai,2015,Dealer,First Owner,Petrol,Manual,13.24,5.89,18.6,1197,81.83,31695,5
Mercedes-Benz E-Class 280 CDI Elegance,Mercedes-Benz,2009,Dealer,First Owner,Diesel,Automatic,95.61,8.51,14.21,2143,203,71000,5
Hyundai i20 1.2 Sportz,Hyundai,2011,Dealer,First Owner,Petrol,Manual,13.24,3.19,17,1197,80,25590,5
Maruti Wagon R VXI,Maruti,2012,Dealer,First Owner,Petrol,Manual,7.2,2.85,18.9,998,67.1,42710,5
Honda Jazz V,Honda,2018,Individual,First Owner,Petrol,Manual,11.45,7.4,18.2,1199,88.7,30000,5
Mahindra XUV500 W4,Mahindra,2014,Dealer,First Owner,Diesel,Manual,23.39,7.75,15.1,2179,140,43943,7
Maruti Wagon R VXI,Maruti,2014,Individual,First Owner,Petrol,Manual,7.19,3.8,20.51,998,67.04,43000,5
Hyundai Grand i10 Magna,Hyundai,2016,Dealer,First Owner,Petrol,Manual,7.41,4.5,18.9,1197,82,29901,5
Mahindra XUV500 AT W10 FWD,Mahindra,2016,Dealer,First Owner,Diesel,Automatic,23.37,13,16,2179,140,49000,7
Maruti Alto 800 LXI,Maruti,2015,Individual,First Owner,Petrol,Manual,4.69,2.1,22.74,796,47.3,70000,5
Land Rover Discovery Sport TD4 HSE 7S,Land Rover,2016,Dealer,First Owner,Diesel,Automatic,74.56,28.5,12.81,1999,148.31,145000,7
Mahindra Thar CRDe,Mahindra,2018,Individual,First Owner,Diesel,Manual,16.29,8.5,16.55,2498,105,40000,6
Tata Hexa XMA,Tata,2018,Dealer,First Owner,Diesel,Automatic,14.1,13.65,17.6,2179,153.86,44489,7
Jeep Compass 2.0 Limited Option,Jeep,2018,Individual,First Owner,Diesel,Manual,32.1,16.5,17.1,1956,170,40000,5
Volkswagen Vento 1.2 TSI Highline AT,Volkswagen,2016,Dealer,First Owner,Petrol,Automatic,16.31,6.9,18.19,1197,103.2,43000,5
Mercedes-Benz C-Class C 200 CGI Avantgarde,Mercedes-Benz,2010,Dealer,First Owner,Petrol,Automatic,164,8.99,11.74,1796,186,78000,5
BMW 6 Series GT 630i Luxury Line,BMW,2019,Dealer,First Owner,Petrol,Automatic,77.78,50,14.28,1998,254.7,17226,4
Maruti Wagon R LXI Minor,Maruti,2008,Dealer,First Owner,Petrol,Manual,7.2,1.75,18.9,1061,67,80000,5
Hyundai i20 Asta 1.2,Hyundai,2015,Individual,First Owner,Petrol,Manual,13.24,5.35,18.6,1197,81.83,52000,5
Maruti Alto 800 LXI,Maruti,2015,Individual,First Owner,Petrol,Manual,4.69,2.55,22.74,796,47.3,34000,5
Honda Amaze VX i-DTEC,Honda,2013,Dealer,First Owner,Diesel,Manual,11.77,4.35,25.8,1498,98.6,164000,5
Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,2015,Dealer,First Owner,Diesel,Automatic,95.61,26,13,2143,201.1,26952,5
Renault KWID 1.0 RXT Optional,Renault,2017,Dealer,First Owner,Petrol,Manual,6.65,3.6,23.01,999,67,33000,5
Maruti Swift AMT VXI,Maruti,2018,Individual,First Owner,Petrol,Automatic,9.3,6.3,22,1197,81.8,25000,5
Hyundai i20 1.2 Magna,Hyundai,2011,Dealer,First Owner,Petrol,Manual,13.24,3.2,18.5,1197,80,80000,5
Mercedes-Benz E-Class E250 CDI Elegance,Mercedes-Benz,2013,Dealer,First Owner,Diesel,Automatic,95.52,16.9,14.21,2143,203,68000,5
Maruti Celerio ZXI Optional AMT BSIV,Maruti,2017,Dealer,First Owner,Petrol,Automatic,6.6,4.85,23.1,998,67.04,15500,5
Skoda Superb 3.6 FXI 4X4,Skoda,2009,Dealer,First Owner,Petrol,Automatic,39.36,4.99,12,3597,260,68387,5
Toyota Innova Crysta 2016-2020 2.4 G MT BSIV,Toyota,2016,Dealer,First Owner,Diesel,Manual,30.29,14,13.68,2393,147.8,119000,7
BMW X3 xDrive 20d Luxury Line,BMW,2019,Dealer,First Owner,Diesel,Automatic,75.03,61,18.56,1995,187.7,8620,5
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,Ford,2019,Individual,First Owner,Diesel,Manual,13.71,9.79,23,1498,98.96,67000,5
Maruti Wagon R LXI CNG,Maruti,2015,Individual,First Owner,CNG,Manual,6.29,4.5,26.6,998,58.16,50000,5
Hyundai Grand i10 Sportz Plus,Hyundai,2016,Dealer,First Owner,Petrol,Manual,7.41,5.4,18.9,1197,82,40125,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2019,Individual,First Owner,Petrol,Manual,7.42,5.75,18.9,1197,81.86,15000,5
Ford Ecosport 2015-2021 1.5 Diesel Ambiente BSIV,Ford,2017,Individual,First Owner,Diesel,Manual,13.48,7,23,1498,98.96,26000,5
Maruti Wagon R LXI,Maruti,2008,Dealer,First Owner,Petrol,Manual,7.33,1.75,21.79,998,67.05,55000,5
Mercedes-Benz E-Class E200 Edition E,Mercedes-Benz,2017,Dealer,First Owner,Petrol,Automatic,172,41.5,12,1991,184,26000,5
Maruti Wagon R LXI BSII,Maruti,2005,Dealer,First Owner,Petrol,Manual,7.33,1.1,18.9,998,67.1,138008,5
Mercedes-Benz GL-Class 220d Celebration Edition,Mercedes-Benz,2016,Dealer,First Owner,Diesel,Automatic,75.78,38.5,17.9,2143,168,32000,5
Honda Amaze E i-VTEC,Honda,2018,Dealer,First Owner,Petrol,Manual,10.24,5.75,17.8,1198,86.7,41612,5
Hyundai i20 1.4 Asta AT with AVN,Hyundai,2011,Dealer,First Owner,Petrol,Automatic,13.24,3.25,15,1396,100,89000,5
Mahindra XUV500 W8 2WD,Mahindra,2012,Individual,First Owner,Diesel,Manual,23.37,6,15.1,2179,140,200000,7
Maruti Celerio VXI AT,Maruti,2016,Dealer,First Owner,Petrol,Automatic,6.72,4.45,23.1,998,67.04,16000,5
Maruti Ertiga VXI CNG,Maruti,2017,Individual,First Owner,CNG,Manual,10.23,8.2,17.5,1373,80.46,30900,7
Hyundai Verna SX CRDi AT,Hyundai,2012,Dealer,First Owner,Diesel,Automatic,18.11,4.95,19.08,1582,126.32,71452,5
Ford Figo 1.5D Titanium MT,Ford,2015,Dealer,First Owner,Diesel,Manual,9.69,5.5,25.83,1498,99,52000,5
Toyota Fortuner 3.0 Diesel,Toyota,2010,Dealer,First Owner,Diesel,Manual,45.22,10.85,11.5,2982,171,64000,7
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,Ford,2015,Individual,First Owner,Diesel,Manual,13.72,8,22.77,1498,98.59,60000,5
Honda City i DTec V,Honda,2016,Individual,First Owner,Diesel,Manual,17.39,8.5,26,1498,98.6,100000,5
Renault KWID RXT,Renault,2016,Individual,First Owner,Petrol,Manual,6.65,2.99,25.17,799,53.3,35000,5
Tata Tiago 2019-2020 XM,Tata,2018,Dealer,First Owner,Petrol,Manual,8.27,3.1,23.84,1199,83.83,14902,5
BMW 7 Series 730Ld DPE,BMW,2016,Dealer,First Owner,Diesel,Automatic,167,64,17.66,2993,261.49,37000,4
Toyota Fortuner 4x4 MT,Toyota,2011,Dealer,First Owner,Diesel,Manual,45.22,9.9,12.55,2982,168.5,79431,7
Maruti Swift Dzire VXi,Maruti,2013,Individual,First Owner,Petrol,Manual,10.32,4.7,17.5,1298,85.8,21000,5
Honda Amaze E i-DTEC,Honda,2013,Dealer,First Owner,Diesel,Manual,11.46,3.9,25.8,1498,98.6,54642,5
Hyundai i10 Sportz 1.2 AT,Hyundai,2010,Dealer,First Owner,Petrol,Automatic,7.42,2.9,16.95,1197,78.9,77739,5
Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai,2018,Dealer,First Owner,Petrol,Automatic,7.42,5.96,18.9,1197,81.86,31025,5
Volkswagen Vento 1.6 Highline,Volkswagen,2019,Dealer,First Owner,Petrol,Manual,16.31,8.75,15.04,1598,103.2,4200,5
Mercedes-Benz E-Class E250 CDI Blue Efficiency,Mercedes-Benz,2011,Dealer,First Owner,Diesel,Automatic,95.61,11.25,14.21,2143,203,57000,5
Hyundai i20 1.2 Sportz,Hyundai,2012,Individual,First Owner,Petrol,Manual,13.23,3.1,17,1197,80,90000,5
Ford Figo 1.2P Titanium MT,Ford,2015,Dealer,First Owner,Petrol,Manual,8.44,3.55,18.16,1196,86.8,20319,5
Hyundai i20 2015-2017 Asta Option 1.2,Hyundai,2016,Individual,First Owner,Petrol,Manual,13.23,5.4,18.6,1197,81.83,50000,5
Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai,2017,Dealer,First Owner,Petrol,Automatic,20.53,11.75,13,1591,121.3,45000,5
Maruti Wagon R VXI,Maruti,2016,Individual,First Owner,Petrol,Manual,7.19,3.5,20.51,998,67.04,60000,5
Hyundai i20 Magna Optional 1.2,Hyundai,2013,Individual,First Owner,Petrol,Manual,13.24,3.25,18.5,1197,82.9,33000,5
Mahindra XUV500 W4 1.99 mHawk,Mahindra,2015,Individual,First Owner,Diesel,Manual,23.39,9.25,16,1997,140,57000,7
Maruti Ciaz VXi Plus,Maruti,2014,Dealer,First Owner,Petrol,Manual,13.51,5.55,20.73,1373,91.1,43612,5
BMW 3 Series 320d Luxury Line,BMW,2015,Dealer,First Owner,Diesel,Automatic,58.05,19.5,22.69,1995,190,37000,5
Hyundai i20 Diesel Asta Option,Hyundai,2018,Dealer,First Owner,Diesel,Manual,12.84,8.4,22.54,1396,88.73,49000,5
Maruti Ertiga VXI CNG,Maruti,2016,Dealer,First Owner,CNG,Manual,10.22,7.75,17.5,1373,80.46,43000,7
Honda City i VTEC VX Option BL,Honda,2017,Dealer,First Owner,Petrol,Manual,16.99,9.5,17.8,1497,117.3,19900,5
Maruti Baleno Delta 1.2,Maruti,2015,Dealer,First Owner,Petrol,Manual,10.73,5.7,21.4,1197,83.1,47000,5
Maruti Wagon R LXI CNG,Maruti,2011,Dealer,First Owner,CNG,Manual,6.29,2.75,26.6,998,58.16,75000,5
Tata Tiago 1.2 Revotron XT,Tata,2019,Individual,First Owner,Petrol,Manual,7.95,4.9,23.84,1199,84,35000,5
Ford Figo 1.5D Titanium MT,Ford,2016,Individual,First Owner,Diesel,Manual,9.66,4,25.83,1498,99,145000,5
Honda City i VTEC E,Honda,2015,Dealer,First Owner,Petrol,Manual,16.99,5.1,17.8,1497,117.3,30000,5
Volkswagen Polo 1.0 TSI Highline Plus,Volkswagen,2018,Dealer,First Owner,Petrol,Manual,11.44,6.55,18.24,999,108.62,14000,5
Renault KWID RXT,Renault,2017,Individual,First Owner,Petrol,Manual,6.65,3.5,25.17,799,53.3,15000,5
Honda Jazz 1.2 VX i VTEC,Honda,2016,Individual,First Owner,Petrol,Manual,10.85,5,18.7,1199,88.7,10000,5
Honda City i DTec E,Honda,2014,Dealer,First Owner,Diesel,Manual,17.52,5.4,26,1498,98.6,70000,5
Hyundai i20 Sportz 1.2,Hyundai,2016,Dealer,First Owner,Petrol,Manual,13.23,6.5,18.6,1197,81.83,50507,5
Honda City i DTEC SV,Honda,2014,Dealer,First Owner,Diesel,Manual,17.8,6.25,26,1498,98.6,73000,5
Maruti Wagon R VXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,7.33,3.35,18.9,998,67.1,83000,5
Maruti Wagon R VXI,Maruti,2015,Individual,First Owner,Petrol,Manual,7.2,3.5,20.51,998,67.04,40000,5
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,Dealer,First Owner,Petrol,Manual,7.42,5,18.9,1197,81.86,32212,5
Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,2018,Dealer,First Owner,Diesel,Automatic,20.82,13.5,17.6,1582,126.2,24000,5
Maruti Swift VXI,Maruti,2011,Dealer,First Owner,Petrol,Manual,9.3,3.25,18.6,1197,85.8,70000,5
Hyundai i20 1.2 Sportz,Hyundai,2012,Dealer,First Owner,Petrol,Manual,13.24,3.85,17,1197,80,36000,5
Mahindra KUV 100 mFALCON G80 K8,Mahindra,2017,Individual,First Owner,Petrol,Manual,8.64,3.9,18.15,1198,82,50000,6
Volkswagen Polo 2015-2019 GT TSI,Volkswagen,2016,Dealer,First Owner,Petrol,Automatic,11.75,6.65,17.21,1197,103.5,45000,5
Maruti Wagon R LXI BS IV,Maruti,2011,Dealer,First Owner,Petrol,Manual,7.2,2.35,18.9,998,67.1,48000,5
Mercedes-Benz E-Class E250 CDI Launch Edition,Mercedes-Benz,2014,Dealer,First Owner,Diesel,Automatic,95.61,20.25,13,2143,204,70001,5
Tata Tigor 1.2 Revotron XT,Tata,2018,Individual,First Owner,Petrol,Manual,8.63,5.5,20.3,1199,84,60000,5
Maruti Swift VXI,Maruti,2015,Dealer,First Owner,Petrol,Manual,9.31,4.5,18.6,1197,85.8,78000,5
Toyota Camry A/T,Toyota,2008,Dealer,First Owner,Petrol,Automatic,47.5,4,12.1,2362,164.7,138000,5
Honda CR-V 2.0L 2WD AT,Honda,2016,Dealer,First Owner,Petrol,Automatic,35.09,13.5,13.1,1997,141.1,84000,5
Toyota Innova Crysta 2016-2020 2.8 GX AT 8S BSIV,Toyota,2018,Dealer,First Owner,Diesel,Automatic,30.1,18,11.36,2755,171.5,27000,8
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2013,Dealer,First Owner,Diesel,Manual,17.79,6.25,22.32,1582,126.32,51000,5
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,Dealer,First Owner,Diesel,Manual,12.62,4.3,21.9,1396,88.76,62000,5
Honda City 1.5 V MT,Honda,2009,Individual,First Owner,Petrol,Manual,16.99,2.35,17,1497,118,120000,5
Hyundai i20 1.2 Era,Hyundai,2012,Dealer,First Owner,Petrol,Manual,13.24,3.3,17,1197,80,24600,5
Maruti Baleno Alpha Automatic,Maruti,2018,Dealer,First Owner,Petrol,Automatic,10.73,8.25,21.4,1197,83.1,17947,5
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz,2013,Dealer,First Owner,Diesel,Automatic,65.17,11.85,19.27,2143,170,71000,5
Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2015,Dealer,First Owner,Diesel,Automatic,20.82,10.59,17.01,1582,126.2,67000,5
Maruti Wagon R LXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,7.2,3,21.79,998,67.05,62500,5
Hyundai Santro Magna AMT BSIV,Hyundai,2019,Individual,First Owner,Petrol,Automatic,7.63,5.5,20.3,1086,68,4700,5
Ford Figo Petrol Titanium,Ford,2012,Dealer,First Owner,Petrol,Manual,8.23,2.69,15.6,1196,70,46573,5
Maruti Ertiga BSIV VXI AT,Maruti,2016,Dealer,First Owner,Petrol,Automatic,12.3,7.65,17.03,1373,91.1,68500,7
Hyundai Grand i10 Asta Option,Hyundai,2016,Dealer,First Owner,Petrol,Manual,7.42,5.1,18.9,1197,82,20000,5
Honda City 2017-2020 GXi,Honda,2007,Individual,First Owner,Petrol,Manual,16.86,3.5,17.7,1497,78,70000,5
Tata Tiago 1.2 Revotron XZ,Tata,2017,Individual,First Owner,Petrol,Manual,7.95,4.9,23.84,1199,84,20000,5
Maruti Alto 800 LXI,Maruti,2017,Individual,First Owner,Petrol,Manual,4.72,2.55,24.7,796,47.3,90000,5
Maruti Swift VXI,Maruti,2017,Dealer,First Owner,Petrol,Manual,9.31,5.75,21.21,1197,81.8,36000,5
Mahindra XUV500 W4,Mahindra,2014,Individual,First Owner,Diesel,Manual,23.07,8,15.1,2179,140,72125,7
Mercedes-Benz E-Class 200 Kompressor Elegance,Mercedes-Benz,2007,Dealer,First Owner,Petrol,Automatic,172,4.99,10.5,1796,157.7,85250,5
Maruti Wagon R LXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,7.17,3.11,20.51,998,67.04,55149,5
Volkswagen Polo GT TSI,Volkswagen,2018,Dealer,First Owner,Petrol,Automatic,11.75,7.6,17.21,1197,103.6,22000,5
Skoda Octavia Elegance 1.8 TSI AT,Skoda,2015,Individual,First Owner,Petrol,Automatic,45.34,9.9,14.7,1798,177.5,110000,5
Mercedes-Benz C-Class C 250 CDI Elegance,Mercedes-Benz,2010,Dealer,First Owner,Diesel,Automatic,65.11,9.5,14.94,2143,204,67900,5
Mercedes-Benz S-Class S 500,Mercedes-Benz,2016,Dealer,First Owner,Petrol,Automatic,327,110,7.81,5461,362.9,41000,5
Maruti Swift Dzire VXi,Maruti,2016,Individual,First Owner,Petrol,Manual,10.32,6,17.5,1298,85.8,30000,5
Honda Amaze VX i-Vtech,Honda,2015,Trustmark Dealer,First Owner,Petrol,Manual,10.35,4.99,18,1198,86.7,65445,5
Honda Amaze S i-Vtech,Honda,2013,Dealer,First Owner,Petrol,Manual,10.25,3.93,18,1198,86.7,31497,5
Maruti Baleno Zeta,Maruti,2018,Dealer,First Owner,Petrol,Manual,10.73,6.65,21.01,1197,81.8,26600,5
Hyundai i20 Sportz Plus BSIV,Hyundai,2019,Individual,First Owner,Petrol,Manual,13.24,7.1,18.6,1197,81.86,5000,5
Ford Endeavour 3.2 Titanium AT 4X4,Ford,2017,Dealer,First Owner,Diesel,Automatic,42.68,28.5,10.91,3198,197,40000,7
Renault KWID 1.0 RXT,Renault,2018,Dealer,First Owner,Petrol,Manual,6.54,3.85,23.01,999,67,10000,5
Hyundai i20 1.4 CRDi Magna,Hyundai,2013,Dealer,First Owner,Diesel,Manual,12.84,4.25,21.9,1396,90,62000,5
Hyundai Grand i10 Sportz,Hyundai,2016,Dealer,First Owner,Petrol,Manual,7.42,4.38,18.9,1197,82,42845,5
Maruti Swift Dzire Tour 1.2 S STD CNG,Maruti,2018,Individual,First Owner,CNG,Manual,7.2,4.5,26.55,1197,81.8,115000,5
Maruti Baleno Delta 1.2,Maruti,2017,Dealer,First Owner,Petrol,Manual,10.73,6.25,21.4,1197,83.1,34428,5
Maruti Baleno Alpha 1.2,Maruti,2016,Dealer,First Owner,Petrol,Manual,10.73,6.2,21.4,1197,83.1,49551,5
Honda City i-VTEC CVT V,Honda,2017,Dealer,First Owner,Petrol,Automatic,16.99,8.5,18,1497,117.6,44897,5
Mahindra Scorpio SLE BSIII,Mahindra,2011,Individual,First Owner,Diesel,Manual,19.68,4.6,12.05,2179,120,105000,8
Hyundai Elantra 1.6 SX Option AT,Hyundai,2017,Dealer,First Owner,Diesel,Automatic,25.31,15,18.23,1582,126.2,55000,5
Maruti Baleno Alpha 1.2,Maruti,2017,Individual,First Owner,Petrol,Manual,10.73,7,21.4,1197,83.1,43000,5
Maruti Wagon R LXI CNG,Maruti,2016,Dealer,First Owner,CNG,Manual,6.18,3.75,26.6,998,58.16,51000,5
Hyundai i20 Asta 1.2,Hyundai,2016,Dealer,First Owner,Petrol,Manual,13.24,6.29,18.6,1197,81.83,27884,5
Hyundai i20 1.4 Sportz,Hyundai,2017,Dealer,First Owner,Diesel,Manual,12.83,6.8,22.54,1396,88.73,37000,5
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,Toyota,2016,Dealer,First Owner,Diesel,Automatic,30.1,17.75,11.36,2755,171.5,51000,7
Toyota Innova Crysta 2016-2020 2.4 ZX MT BSIV,Toyota,2017,Dealer,First Owner,Diesel,Manual,30.63,17,13.68,2393,147.8,110000,7
Toyota Fortuner 3.0 Diesel,Toyota,2010,Dealer,First Owner,Diesel,Manual,45.18,10.5,11.5,2982,171,74000,7
Toyota Innova Crysta 2016-2020 2.4 G MT 8 STR,Toyota,2017,Dealer,First Owner,Diesel,Manual,30.1,15.75,13.68,2393,147.51,109000,8
Hyundai i20 Magna,Hyundai,2011,Dealer,First Owner,Petrol,Manual,13.23,3.4,18.5,1197,80,23000,5
Mahindra Thar DI 4X2,Mahindra,2018,Dealer,First Owner,Diesel,Manual,16.58,7.71,18.06,2523,63,11000,7
Audi Q7 2006-2020 35 TDI Quattro Premium Plus,Audi,2015,Dealer,First Owner,Diesel,Automatic,80.6,29,12.07,2967,241.4,72000,7
Volkswagen Polo 2015-2019 GT TSI,Volkswagen,2018,Dealer,First Owner,Petrol,Automatic,11.44,8.75,17.21,1197,103.5,27000,5
Mercedes-Benz S-Class S 350 CDIL,Mercedes-Benz,2011,Dealer,First Owner,Diesel,Automatic,181,18.39,13.5,2987,282,90000,5
Maruti Ertiga CNG VXI,Maruti,2017,Dealer,First Owner,CNG,Manual,10.23,7.4,26.08,1462,91.19,65000,7
Hyundai Creta 1.6 SX Option Diesel,Hyundai,2019,Individual,First Owner,Diesel,Manual,20.46,15,20.5,1582,126.2,25000,5
Maruti Eeco CNG HTR 5-STR,Maruti,2010,Individual,First Owner,CNG,Manual,5.85,1.9,21.94,1196,63,40000,5
Hyundai i20 Magna 1.2,Hyundai,2016,Individual,First Owner,Petrol,Manual,13.23,5.25,18.6,1197,81.83,75000,5
Mercedes-Benz E-Class E 200 CGI,Mercedes-Benz,2017,Dealer,First Owner,Petrol,Automatic,172,41.5,12,1991,184,26000,5
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2013,Individual,First Owner,Diesel,Manual,12.84,4,21.9,1396,88.76,130000,5
Renault KWID AMT,Renault,2017,Dealer,First Owner,Petrol,Automatic,6.54,3.45,24.04,999,67,54000,5
Mahindra Marazzo M8,Mahindra,2018,Dealer,First Owner,Diesel,Manual,16.21,10.55,17.3,1497,121,40000,7
Maruti Alto 800 LXI,Maruti,2017,Dealer,First Owner,Petrol,Manual,4.69,3.1,24.7,796,47.3,9210,5
Maruti Ignis 1.2 Alpha BSIV,Maruti,2018,Individual,First Owner,Petrol,Manual,8.48,5.76,20.89,1197,81.8,25000,5
Mahindra Bolero DI DX 7 Seater,Mahindra,2003,Individual,First Owner,Diesel,Manual,10.55,1,13.6,2523,63,120000,7
Maruti Wagon R LXI BSII,Maruti,2014,Dealer,First Owner,Petrol,Manual,7.33,3.8,18.9,998,67.1,101200,5
Toyota Fortuner 4x2 AT,Toyota,2013,Dealer,First Owner,Diesel,Automatic,45.18,15,12.55,2982,168.5,80000,7
Ford Figo Diesel ZXI,Ford,2011,Dealer,First Owner,Diesel,Manual,9.89,2.75,20,1399,68.05,55500,5
Mercedes-Benz GL-Class 220d 4MATIC Sport,Mercedes-Benz,2017,Dealer,First Owner,Diesel,Automatic,75.78,36.75,17.9,2143,170,38000,5
Honda City 1.3 LXI,Honda,2003,Dealer,First Owner,Petrol,Manual,17.1,1,11.7,1343,100,177000,5
Toyota Fortuner 4x2 AT,Toyota,2014,Dealer,First Owner,Diesel,Automatic,45.22,17.95,12.55,2982,168.5,67400,7
Skoda Rapid 1.6 MPI Ambition,Skoda,2014,Dealer,First Owner,Petrol,Manual,15.82,4.9,15,1598,105,29000,5
Datsun RediGO S,Datsun,2018,Individual,First Owner,Petrol,Manual,5.41,3.4,22.7,799,53.64,15000,5
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2016,Dealer,First Owner,Petrol,Manual,11.44,5.3,16.2,1199,74,30000,5
Hyundai Grand i10 1.2 Kappa Magna BSIV,Hyundai,2018,Dealer,First Owner,Petrol,Manual,7.42,5.1,18.9,1197,81.86,15914,5
Mahindra XUV500 W8 2WD,Mahindra,2015,Dealer,First Owner,Diesel,Manual,23.39,8.8,15.1,2179,140,72000,7
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,2015,Dealer,First Owner,CNG,Manual,5.85,3.85,21.94,1196,61.7,60200,5
Hyundai Verna 1.6 VTVT,Hyundai,2012,Dealer,First Owner,Petrol,Manual,16.45,4.48,17.01,1591,121.3,32472,5
Honda City i VTEC SV,Honda,2016,Dealer,First Owner,Petrol,Manual,16.99,6.65,17.4,1497,117.3,57116,5
Jeep Compass 2.0 Limited,Jeep,2018,Dealer,First Owner,Diesel,Manual,34.11,8,17.1,1956,170,20000,5
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,Volkswagen,2018,Individual,First Owner,Petrol,Manual,10.72,5.95,18.78,999,75,15000,5
Hyundai Venue SX Dual Tone Turbo BSIV,Hyundai,2019,Dealer,First Owner,Petrol,Manual,13.64,9.75,18.27,998,118.35,16000,5
Hyundai Elantra CRDi SX,Hyundai,2013,Dealer,First Owner,Diesel,Manual,25.31,7,22.7,1582,126.24,80000,5
Hyundai Verna 1.6 SX VTVT (O),Hyundai,2019,Individual,First Owner,Petrol,Manual,16.45,10.35,17.1,1591,121.3,6500,5
Hyundai i20 Magna,Hyundai,2013,Trustmark Dealer,First Owner,Petrol,Manual,13.23,4.45,18.5,1197,82.85,7268,5
Maruti Ertiga VXI,Maruti,2013,Dealer,First Owner,Petrol,Manual,12.3,5.85,16.02,1373,93.7,41000,7
Mercedes-Benz S-Class S 350 CDI,Mercedes-Benz,2010,Dealer,First Owner,Diesel,Automatic,181,14.55,13.5,2987,282,50312,5
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2013,Individual,First Owner,Petrol,Manual,11.75,3.5,16.47,1198,73.9,60000,5
BMW 5 Series 520d Luxury Line,BMW,2014,Dealer,First Owner,Diesel,Automatic,85.24,27.99,18.12,1995,190,41265,5
Honda City V MT,Honda,2015,Dealer,First Owner,Petrol,Manual,17.1,6.75,17.4,1497,117.6,66996,5
Maruti Baleno Alpha 1.2,Maruti,2017,Dealer,First Owner,Petrol,Manual,10.68,6.77,21.4,1197,83.1,17865,5
Tata Nexon 1.5 Revotorq XT,Tata,2018,Dealer,First Owner,Diesel,Manual,15.61,8.85,21.5,1497,108.5,12000,5
Maruti Wagon R VXI Opt 1.2BSIV,Maruti,2019,Dealer,First Owner,Petrol,Manual,7.2,5.45,21.5,1197,81.8,7800,5
